Region/Sub-Region or Country of Birth,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
All Countries (total),644787,841002,1058902,1059356,703542,957883,1122257,1266129,1052415,1107126,1130818,1042625,1062040,1031631,990553,1016518,1051031,1183505,1127167,1096611
Africa,36572,44529,53723,60094,48633,66412,85091,117416,94709,105915,127046,101355,100374,107241,98304,98413,101415,113426,118824,115736
Eastern Africa,8839,10778,13373,18426,14901,21266,26530,41295,31731,36558,49419,34498,34001,35539,30044,30241,31618,35047,39311,39582
Burundi,16,28,79,120,74,100,186,320,257,255,1505,841,593,535,260,273,351,415,1094,762
Comoros,X,X,X,X,X,X,6,7,7,D,3,4,8,10,D,9,5,4,4,8
Djibouti,6,14,22,30,16,37,50,34,23,39,54,37,56,106,90,190,370,281,222,281
Eritrea,325,382,540,560,556,675,796,1593,1081,1270,1928,1656,2102,2643,2138,2002,2220,2267,2449,2428
Ethiopia,4262,4053,5092,7565,6635,8286,10571,16152,12786,12917,15462,14266,13793,14544,13097,12300,11394,13232,14637,12403
Kenya,1407,2197,2501,3199,3209,5335,5347,8779,7030,6998,9880,7421,7762,7043,6123,5884,5602,6274,6957,7190
Madagascar,26,33,61,43,40,54,60,72,53,77,71,80,83,79,95,86,72,88,60,79
Malawi,41,61,70,56,62,83,131,131,123,133,164,164,123,192,159,172,160,205,228,257
Mauritius,38,54,84,83,57,65,99,108,88,83,110,84,101,77,83,81,96,110,96,67
Mozambique,31,41,48,54,36,59,54,78,81,69,66,53,60,94,73,71,107,101,96,100
Rwanda,97,73,148,217,109,163,276,502,357,378,952,489,520,592,540,555,732,1357,1394,1620
Seychelles,10,18,18,20,16,25,16,15,7,16,10,8,15,7,6,7,11,16,10,6
Somalia,1690,2393,3007,4535,2444,3929,5829,9462,6251,10745,13390,4558,4451,5204,3764,5190,6796,6958,7404,7557
Tanzania,313,480,476,577,554,747,829,949,832,838,2773,1850,1427,1516,837,774,799,788,1415,3186
Uganda,250,418,457,575,455,721,858,1372,1122,1174,1364,1085,1239,1340,1350,1409,1664,1649,1898,2412
Zambia,143,211,295,308,280,359,499,672,576,613,704,628,652,643,505,441,460,487,537,477
Zimbabwe,184,322,475,484,358,628,923,1049,1057,953,983,1274,1016,914,924,797,779,815,810,749
Middle Africa,1190,1317,1431,2044,1663,2353,3109,5757,5924,6492,7744,7422,9228,9694,8377,9451,10955,13046,14781,15626
Angola,57,87,94,92,59,107,188,272,199,221,173,148,148,187,143,148,154,198,209,176
Cameroon,824,860,791,984,927,1309,1458,2919,3392,3771,3463,4161,4754,3815,3908,3943,4374,4899,4668,4236
Central African Republic,3,4,11,13,6,17,24,51,52,88,107,101,134,116,213,155,234,202,178,304
Chad,24,23,44,47,8,23,31,73,74,96,102,120,171,155,111,119,175,136,205,251
Democratic Republic of Congo,87,123,145,178,110,155,260,738,1129,1261,2122,1764,2424,3731,2792,4347,5345,6791,8709,9941
Equatorial Guinea,D,5,3,8,D,13,10,13,4,16,32,12,13,20,18,15,25,18,20,17
Gabon,4,18,32,41,40,50,66,85,95,82,171,138,204,197,127,167,146,165,150,112
Republic of Congo,190,189,311,677,513,670,1064,1600,972,950,1563,968,1371,1461,1059,552,496,625,632,580
Sao Tome and Principe,1,8,D,4,D,9,8,6,7,7,11,10,9,12,6,5,6,12,10,9
Northern Africa,9832,10988,13303,12888,9620,14308,19380,23034,18349,18467,20065,18466,16966,17238,17696,20220,22529,23254,21192,19885
Algeria,789,906,875,1030,759,805,1115,1300,1036,1037,1485,1305,1364,1369,1241,1669,1775,2180,2139,2123
Egypt,4421,4450,5159,4852,3348,5522,7905,10500,9267,8712,8844,8978,7778,8988,10294,11477,12085,12045,9834,9826
Libya,156,180,223,158,140,185,223,271,186,285,296,355,357,315,376,524,734,642,780,499
Morocco,2970,3614,4958,3387,3137,4128,4411,4949,4513,4425,5447,5013,4399,3656,3336,3605,3710,4586,4229,3077
South Sudan,,,,,,,,,X,X,X,X,-,17,59,74,127,124,160,185
Sudan,1346,1531,1650,2921,1883,3211,5231,5504,2930,3598,3577,2397,2628,2471,1945,2442,3580,3159,3515,3658
Tunisia,150,307,438,540,353,457,495,510,417,410,416,418,440,422,445,429,518,518,535,517
Southern Africa,1608,2888,4192,3962,2305,3473,4681,3339,3121,2844,3335,2929,2812,2961,2774,2814,3096,3227,3197,3187
Botswana,5,13,24,30,27,34,54,53,49,41,55,66,76,80,53,58,61,78,112,72
Eswatini (formerly Swaziland),8,12,18,12,23,15,16,11,13,18,42,22,19,24,15,23,19,20,19,18
Lesotho,5,9,6,13,5,14,12,18,14,16,14,23,25,17,20,13,23,19,24,12
Namibia,13,30,54,46,40,40,63,56,57,46,53,60,43,59,57,44,86,87,130,75
South Africa,1577,2824,4090,3861,2210,3370,4536,3201,2988,2723,3171,2758,2649,2781,2629,2676,2907,3023,2912,3010
Western Africa,15103,18558,21424,22774,20144,25012,31391,43991,35584,41549,46479,38040,37367,41806,39410,35684,33214,38851,40343,37455
Benin,59,62,75,137,76,185,193,275,258,317,401,486,462,415,342,517,466,577,648,573
Burkina Faso,17,48,68,64,60,103,128,221,238,238,416,377,433,558,585,583,575,642,541,525
Cabo Verde,902,1079,868,871,745,1015,1225,1780,2048,1916,2238,1668,1808,1684,1673,1154,1253,2242,2618,1929
Cote d'Ivoire,303,439,596,629,483,666,930,2067,1193,1645,2159,1621,1302,1760,1486,1477,1497,1617,1810,1375
Gambia,183,231,390,343,263,422,581,897,826,739,978,859,972,1159,1018,1111,1142,1247,1134,1023
Ghana,3707,4339,4023,4248,4410,5337,6491,9367,7610,8195,8401,7429,8798,10592,10265,7115,6186,6949,8455,8394
Guinea,5,3,11,16,29,347,495,1110,1088,1735,1725,1379,1555,1656,1518,1375,1389,1501,1348,1282
Guinea-Bissau,134,204,273,289,176,5,26,25,25,17,20,30,29,47,43,30,39,37,48,27
Liberia,1351,1570,2273,2869,1766,2757,4880,6887,4102,7193,7641,4837,4151,4109,3334,3874,3795,3619,4155,3101
Mali,72,109,119,105,124,163,277,408,412,523,576,528,629,734,667,604,587,598,544,488
Mauritania,24,88,117,124,131,170,275,720,651,844,597,495,393,410,354,320,298,317,287,212
Niger,12,30,1330,1263,808,62,126,116,97,107,183,96,96,48,37,71,55,119,116,93
Nigeria,6742,7831,8253,8105,7872,9374,10597,13459,12448,12475,15253,13376,11824,13575,13840,12828,11542,14380,13539,13952
Senegal,368,554,663,530,522,769,913,1367,1024,1149,1524,1285,1424,1615,1340,1273,1244,1533,1470,1420
Sierra Leone,970,1585,1878,2246,1492,1596,2731,3572,1999,2795,2687,2011,1985,1688,1651,1740,1599,1535,2058,1527
Togo,254,386,487,935,1187,2041,1523,1720,1565,1661,1680,1563,1506,1756,1257,1612,1547,1938,1572,1534
Other Africa,,,,,,,,,,5,4,0,0,3,3,3,3,1,0,1
Americas,312160,394779,474112,477092,304990,414523,448689,552056,445806,491745,478040,423731,419998,407172,396605,398069,438435,506901,492726,497860
Caribbean,71350,86055,102830,96026,68549,89042,108470,146606,118950,136948,145959,139877,133608,127391,122313,133843,146640,182049,174514,182341
Anguilla,20,25,55,20,26,22,35,32,25,22,21,19,25,23,22,20,22,20,23,23
Antigua and Barbuda,454,429,461,380,301,414,440,570,415,444,437,359,368,337,344,369,290,324,322,325
Aruba,14,25,29,32,27,31,42,51,55,36,38,49,39,54,45,40,38,23,47,45
Bahamas,398,766,924,808,423,586,698,847,738,682,751,652,668,619,630,654,725,656,725,759
Barbados,715,777,895,813,516,630,846,959,689,585,603,465,455,460,428,384,376,371,373,318
British Virgin Islands,76,67,70,43,43,35,41,47,40,53,46,46,37,39,45,56,38,40,25,37
Cayman Islands,18,31,23,24,35,38,37,65,40,37,45,52,41,44,44,48,53,55,67,47
Cuba,14019,18960,27453,28182,9262,20488,36261,45614,29104,49500,38954,33573,36452,32820,32219,46679,54396,66516,65028,76486
Curacao,X,X,X,X,X,X,X,X,X,X,X,X,-,-,-,27,22,35,34,56
Dominica,40,95,93,148,204,132,198,471,428,454,484,366,287,125,244,345,229,298,510,492
Dominican Republic,17811,17465,21195,22515,26159,30506,27503,38068,28024,31879,49414,53870,46109,41566,41311,44577,50610,61161,58520,57413
Grenada,661,655,645,634,481,609,840,1068,751,784,748,664,579,671,687,633,525,585,544,501
Guadeloupe,54,51,84,38,35,59,48,53,D,D,D,D,D,D,D,D,D,D,D,D
Haiti,16514,22337,27031,20213,12293,14191,14524,22226,30405,26007,24280,22582,22111,22818,20351,15274,16967,23584,21824,21360
Jamaica,14693,15949,15322,14835,13347,14430,18345,24976,19375,18477,21783,19825,19662,20705,19400,19026,17642,23350,21905,20347
Martinique,23,20,22,19,14,26,37,30,D,D,D,D,D,D,D,D,D,D,D,D
Montserrat,80,70,61,42,36,33,50,90,66,61,43,27,30,27,-,38,14,14,12,20
Netherlands Antilles,35,53,114,97,59,72,116,100,93,78,97,77,86,106,128,45,22,18,9,7
Saint Kitts and Nevis,463,500,463,342,310,299,342,458,347,363,310,339,350,311,259,263,222,250,238,250
Saint Lucia,529,599,674,583,488,616,832,1212,928,946,1027,872,785,919,853,844,739,777,777,696
Saint Vincent and the Grenadines,442,497,559,480,322,400,625,756,567,568,591,576,468,503,529,448,415,422,361,333
Sint Maarten,X,X,X,X,X,X,X,X,X,X,X,X,-,-,-,45,45,42,35,27
Trinidad and Tobago,4259,6635,6618,5738,4138,5384,6568,8854,6829,5937,6256,5435,5023,5214,4724,3988,3212,3469,3100,2758
